,sig_e,sig_s,sig_u,sig_eps,rho,tau1,tau2,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd
run_00000000,0.7071067811865476,1.0,1.0,3.1622776601683795,0.5,0.1,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,0,5.017388811014618,5.111846219603345,1.4410747937190143,-0.06791620347665357,0.0,0.0,5.062258812608663,5.06171800726402,7.9057484734070655,8.154264539420527,3.104579852730347,3.337237796990657,0.0,0.0,20.0826840375098,18.85101360633598,0.09445740858871783,1.5089909971956712,0.000540805344641312,8.950717081392366,24.222208102571777,4.536806442701827
run_00000001,0.7071067811865476,1.0,6.4031242374328485,3.1622776601683795,0.5,0.1,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,1,5.1412158474319165,5.321818071371973,1.5331051684923855,-0.0428221154079557,0.0,0.0,5.366246147008,5.22238908792033,6.686779652679079,8.248361591174858,2.519077741800104,3.3762722718455795,0.0,0.0,14.442242371696778,18.856506128773734,0.18060222394003855,1.5759272839003415,0.14385705908766952,8.259505631020522,20.080961434196524,4.14344740718521
run_00000002,0.7071067811865476,24.758836806279895,1.0,3.1622776601683795,0.5,0.1,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,2,5.007245133097918,5.03714582443276,1.6394385916568865,0.09457236068127786,37166.18003854393,9557.447315280893,5.10107877924531,5.039438913896167,0.2659946945772978,0.3390639201999411,0.037108176344680284,0.051740355565312035,9378.155574128896,5909.722105181008,5.204076630115043,0.48470136211396836,0.02990069133482348,1.544866230975613,0.061639865349143785,0.12087771250653107,5.18160700398908,0.06709170714811029
run_00000003,0.7071067811865476,24.758836806279895,6.4031242374328485,3.1622776601683795,0.5,0.1,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,3,5.07918829366816,5.111317578784201,1.4910337560025106,0.07183330719376065,26473.498660247227,0.0,5.1143490088365935,5.111983189145184,0.09711888803203342,0.11442750232222401,0.05067966671038186,0.03430564085935136,7321.911217440685,0.0,4.68791973306071,0.2789710672619129,0.03212928511603231,1.4192004488087535,0.0023658196914093997,0.042960855211689235,4.6768515200832415,0.05915270729472643
