,sig_e,sig_s,sig_u,sig_eps,rho,tau1,tau2,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd
run_00000000,0.7071067811865476,1.0,1.0,3.1622776601683795,0.5,0.1,0.9,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,0,4.928407371997299,4.9517468844872266,1.4841681014501387,-0.6942145052509574,0.0,0.0,4.914304281242529,4.92349047474621,7.655157372937243,8.32647695015554,3.1510257274062994,3.314600290415228,0.0,0.0,18.42426522624892,18.8644408945122,0.023339512489927737,2.1783826067010974,0.009186193503680095,8.824694578268135,23.07204843012622,4.6021327632694735
run_00000001,0.7071067811865476,1.0,6.4031242374328485,3.1622776601683795,0.5,0.1,0.9,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,1,5.005543896236656,5.101707703962113,1.5028711315121486,-0.7219299582846113,0.0,0.0,5.012797426601856,5.141628058097747,6.8306850806018575,8.52011817888714,2.76696834166493,3.3270812363101037,0.0,0.0,16.40024851739152,19.82671852536182,0.09616380772545664,2.2248010897967574,0.12883063149589155,8.426213126654009,22.316362856432658,4.377108879422341
run_00000002,0.7071067811865476,24.758836806279895,1.0,3.1622776601683795,0.5,0.1,0.9,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,2,4.947536903546964,5.010440395873523,1.6555842858793872,-0.02652525486412164,37657.04494132417,8924.651309435747,4.948271300523564,5.009656272334554,0.1401381815749031,0.18012725923599568,0.026896468486821555,0.04703946343545848,9686.718643408334,6903.200820512821,5.2947344820983435,0.2493420736832483,0.06290349232653163,1.6821095407435092,0.06138497181099026,0.10896782124143196,5.290820417756703,0.06055757671093204
run_00000003,0.7071067811865476,24.758836806279895,6.4031242374328485,3.1622776601683795,0.5,0.1,0.9,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,3,4.964185991678456,4.989115655119233,1.5009396119413039,0.02134441859060661,26005.56042568102,0.0,5.008039060783433,4.989883293847869,0.137795069221105,0.21393070898632213,0.04593634018312381,0.029684323962533826,6852.996134228789,0.0,4.804282197830326,0.24494596677461583,0.024929663440780105,1.4795951933507023,0.01815576693556331,0.10527777755826073,4.795449259019569,0.0635988291702995
