,sig_e,sig_s,sig_u,sig_eps,rho,tau,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd
run_00000000,0.7071067811865476,1.0,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-1,-1,0,4.936039003429627,4.936039003429627,0.0,0.0,0.0,0.0,4.936039003429642,4.936039003429642,2.732599649300418,2.732599649300418,0.0,0.0,0.0,0.0,2.7325996493004165,2.7325996493004165,0.0,0.0,0.0,0.0,0.0,0.0
run_00000001,0.7071067811865476,1.0,6.4031242374328485,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-1,-1,1,4.88513664429232,4.88513664429232,0.0,0.0,0.0,0.0,4.885136644292327,4.885136644292327,2.8556200540701298,2.8556200540701298,0.0,0.0,0.0,0.0,2.855620054070132,2.855620054070132,0.0,0.0,0.0,0.0,0.0,0.0
run_00000002,0.7071067811865476,24.758836806279895,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-1,-1,2,7.440515132102049,2.420183816615897,0.0,0.0,64181.31473286701,65152.28802660257,7.440515132102039,2.420183816615897,0.03993195710885199,0.0395526248156191,0.0,0.0,5320.021378431282,4272.638128969772,0.039931957108852015,0.03955262481561911,5.020331315486143,0.0,5.020331315486143,0.007890513107364439,0.007890513107364439,0.0
run_00000003,0.7071067811865476,24.758836806279895,6.4031242374328485,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-1,-1,3,5.06742269731022,5.0673505028253745,0.0,0.0,26059.529914718572,24473.32592469998,5.0674226973102074,5.067350502825378,0.05521987685279844,0.05522157269114367,0.0,0.0,1413.1885814245732,1327.163320040532,0.05521987685279839,0.05522157269114365,7.219448482834858e-05,0.0,7.219448482834858e-05,1.336334935824241e-05,1.336334935824241e-05,0.0
