,sig_e,sig_s,sig_u,sig_eps,rho,tau,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd
run_00000000,0.7071067811865476,1.0,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,1.5,1.5,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,0,0,0,5.013757685415105,5.013757685415105,1.5,1.5,0.0,0.0,5.0812217142588505,5.0812217142588505,2.1670767025491267,2.1670767025491267,0.0,0.0,0.0,0.0,3.3805050601182107,3.3805050601182107,0.0,0.0,0.0,0.0,0.0,0.0
run_00000001,0.7071067811865476,1.0,6.4031242374328485,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,1.5,1.5,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,0,0,1,4.991932327156097,4.991932327156097,1.5,1.5,0.0,0.0,4.95154384199278,4.95154384199278,2.111404817954618,2.111404817954618,0.0,0.0,0.0,0.0,3.3938050522405736,3.3938050522405736,0.0,0.0,0.0,0.0,0.0,0.0
run_00000002,0.7071067811865476,24.758836806279895,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,1.5,1.5,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,0,0,2,7.522870084232089,2.465724432944165,1.5,1.5,67775.66493120183,67555.93162145154,7.5523624850084445,2.495216833720527,0.01811084852347218,0.019378003343076763,0.0,0.0,3590.596287993542,3750.781521601509,2.093380788154473,2.0932765671381572,5.057145651287917,0.0,5.057145651287917,0.005125726734014762,0.005125726734014743,0.0
run_00000003,0.7071067811865476,24.758836806279895,6.4031242374328485,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,1.5,1.5,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,0,0,3,4.853094073809116,4.852962594442155,1.5,1.5,27758.829136392418,25771.942114309215,4.810216958046901,4.810085478679949,0.03415756042096641,0.034148590392527295,0.0,0.0,994.0747586092803,922.9047811142825,2.133427442639911,2.1334275231909436,0.00013147936695144419,0.0,0.00013147936695142153,2.2060838789097972e-05,2.206083878909423e-05,0.0
