,sig_e,sig_s,sig_u,sig_eps,rho,tau,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd
run_00000252,0.7071067811865476,13.586758259423034,5.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,252,5.000000000000141,4.999999999999859,0.0,0.0,29765.457355620085,29765.457355620085,5.00000000000025,4.99999999999975,1.0835776720341528e-13,1.0835776720341528e-13,0.0,0.0,6.039044819772243e-10,6.039044819772243e-10,0.0,0.0,4.991562718714704e-13,0.0,4.991562718714704e-13,0.0,0.0,0.0
run_00000253,0.7071067811865476,13.586758259423034,5.196152422706632,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,253,5.00000000000014,4.99999999999986,0.0,0.0,29723.026176022107,29723.026176022107,5.00000000000024,4.99999999999976,1.0036416142611415e-13,1.0036416142611415e-13,0.0,0.0,5.784386303275824e-10,5.784386303275824e-10,8.881784197001252e-16,8.881784197001252e-16,4.813927034774679e-13,0.0,4.813927034774679e-13,0.0,0.0,0.0
run_00000254,0.7071067811865476,13.586758259423034,5.385164807134504,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,254,5.00000000000014,4.99999999999986,0.0,0.0,29686.39889633603,29686.39889633603,5.000000000000233,4.999999999999767,9.325873406851315e-14,9.325873406851315e-14,0.0,0.0,1.3351382222026587e-09,1.3351382222026587e-09,8.881784197001252e-16,8.881784197001252e-16,4.671818487622659e-13,0.0,4.671818487622659e-13,0.0,0.0,0.0
run_00000255,0.7071067811865476,13.586758259423034,5.5677643628300215,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,255,5.000000000000047,4.999999999999953,0.0,0.0,29654.46085707673,29654.46085707673,5.000000000000227,4.999999999999773,1.8030021919912542e-13,1.8030021919912542e-13,0.0,0.0,8.585629984736443e-10,8.585629984736443e-10,0.0,0.0,4.547473508864641e-13,0.0,4.547473508864641e-13,0.0,0.0,0.0
run_00000256,0.7071067811865476,13.586758259423034,5.744562646538029,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,256,5.000000000000046,4.999999999999954,0.0,0.0,29626.365672314387,29626.365672314387,5.000000000000222,4.999999999999778,1.758593271006248e-13,1.758593271006248e-13,0.0,0.0,9.89530235528946e-10,9.89530235528946e-10,0.0,0.0,4.440892098500626e-13,0.0,4.440892098500626e-13,0.0,0.0,0.0
run_00000257,0.7071067811865476,13.586758259423034,5.916079783099616,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,257,5.000000000000046,4.999999999999954,0.0,0.0,29601.459097361072,29601.459097361072,5.0000000000002185,4.9999999999997815,1.7141843500212417e-13,1.7141843500212417e-13,0.0,0.0,8.803908713161945e-10,8.803908713161945e-10,8.881784197001252e-16,8.881784197001252e-16,4.3520742565306136e-13,0.0,4.3520742565306136e-13,0.0,0.0,0.0
run_00000258,0.7071067811865476,13.586758259423034,6.082762530298219,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,258,5.000000000000046,4.999999999999954,0.0,0.0,29579.227431364383,29579.227431364383,5.000000000000215,4.999999999999785,1.6786572132332367e-13,1.6786572132332367e-13,0.0,0.0,2.2919266484677792e-10,2.2919266484677792e-10,8.881784197001252e-16,8.881784197001252e-16,4.2810199829546036e-13,0.0,4.2810199829546036e-13,0.0,0.0,0.0
run_00000259,0.7071067811865476,13.586758259423034,6.244997998398398,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,259,5.000000000000046,4.999999999999954,0.0,0.0,29559.261700145773,29559.261700145773,5.000000000000213,4.999999999999787,1.652011860642233e-13,1.652011860642233e-13,0.0,0.0,6.402842700481415e-10,6.402842700481415e-10,1.7763568394002505e-15,1.7763568394002505e-15,4.227729277772596e-13,0.0,4.227729277772596e-13,0.0,0.0,0.0
run_00000260,0.7071067811865476,13.586758259423034,6.4031242374328485,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,260,5.000000000000046,4.999999999999954,0.0,0.0,29541.232261627785,29541.232261627785,5.000000000000208,4.999999999999792,1.616484723854228e-13,1.616484723854228e-13,0.0,0.0,6.293703336268663e-10,6.293703336268663e-10,0.0,0.0,4.156675004196586e-13,0.0,4.156675004196586e-13,0.0,0.0,0.0
run_00000261,0.7071067811865476,13.586758259423034,6.557438524302,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,261,5.000000000000046,4.999999999999954,0.0,0.0,29524.87045906471,29524.87045906471,5.000000000000203,4.999999999999797,1.5898393712632242e-13,1.5898393712632242e-13,0.0,0.0,7.275957614183426e-10,7.275957614183426e-10,1.7763568394002505e-15,1.7763568394002505e-15,4.1033842990145786e-13,0.0,4.1033842990145786e-13,0.0,0.0,0.0
run_00000262,0.7071067811865476,13.586758259423034,6.708203932499369,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,262,5.000000000000046,4.999999999999954,0.0,0.0,29509.955140881215,29509.955140881215,5.000000000000203,4.999999999999797,1.5720758028692217e-13,1.5720758028692217e-13,0.0,0.0,2.3283064365386963e-10,2.3283064365386963e-10,0.0,0.0,4.0678571622265736e-13,0.0,4.0678571622265736e-13,0.0,0.0,0.0
run_00000263,0.7071067811865476,13.586758259423034,6.855654600401044,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,263,5.000000000000046,4.999999999999954,0.0,0.0,29496.302604809276,29496.302604809276,5.0000000000002,4.9999999999998,1.5543122344752192e-13,1.5543122344752192e-13,0.0,0.0,6.111804395914078e-10,6.111804395914078e-10,1.7763568394002505e-15,1.7763568394002505e-15,4.0323300254385686e-13,0.0,4.0323300254385686e-13,0.0,0.0,0.0
run_00000264,0.7071067811865476,13.586758259423034,7.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,264,5.000000000000046,4.999999999999954,0.0,0.0,29483.758992671996,29483.758992671996,5.0000000000002,4.9999999999998,1.5365486660812167e-13,1.5365486660812167e-13,0.0,0.0,2.9831426218152046e-10,2.9831426218152046e-10,0.0,0.0,3.9968028886505635e-13,0.0,3.9968028886505635e-13,0.0,0.0,0.0
run_00000265,0.7071067811865476,13.586758259423034,7.14142842854285,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,265,5.000000000000044,4.999999999999956,0.0,0.0,29472.194466246063,29472.194466246063,5.000000000000198,4.999999999999802,1.5365486660812167e-13,1.5365486660812167e-13,0.0,0.0,1.2623786460608244e-09,1.2623786460608244e-09,0.0,0.0,3.9612757518625585e-13,0.0,3.9612757518625585e-13,0.0,0.0,0.0
run_00000266,0.7071067811865476,13.586758259423034,7.280109889280518,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,266,5.000000000000044,4.999999999999956,0.0,0.0,29461.498695807666,29461.498695807666,5.000000000000196,4.999999999999804,1.5187850976872141e-13,1.5187850976872141e-13,0.0,0.0,9.858922567218542e-10,9.858922567218542e-10,0.0,0.0,3.9257486150745535e-13,0.0,3.9257486150745535e-13,0.0,0.0,0.0
run_00000267,0.7071067811865476,13.586758259423034,7.416198487095663,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,267,5.000000000000044,4.999999999999956,0.0,0.0,29451.577328733692,29451.577328733692,5.0000000000001945,4.9999999999998055,1.5010215292932116e-13,1.5010215292932116e-13,0.0,0.0,7.166818249970675e-10,7.166818249970675e-10,0.0,0.0,3.8902214782865485e-13,0.0,3.8902214782865485e-13,0.0,0.0,0.0
run_00000268,0.7071067811865476,13.586758259423034,7.54983443527075,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,268,5.000000000000044,4.999999999999956,0.0,0.0,29442.349198371063,29442.349198371063,5.000000000000193,4.999999999999807,1.4921397450962104e-13,1.4921397450962104e-13,0.0,0.0,5.238689482212067e-10,5.238689482212067e-10,8.881784197001252e-16,8.881784197001252e-16,3.872457909892546e-13,0.0,3.872457909892546e-13,0.0,0.0,0.0
run_00000269,0.7071067811865476,13.586758259423034,7.681145747868608,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,269,5.000000000000044,4.999999999999956,0.0,0.0,29433.744098320076,29433.744098320076,5.000000000000193,4.999999999999807,1.4832579608992091e-13,1.4832579608992091e-13,0.0,0.0,1.3242242857813835e-09,1.3242242857813835e-09,0.0,0.0,3.8546943414985435e-13,0.0,3.8546943414985435e-13,0.0,0.0,0.0
run_00000270,0.7071067811865476,13.586758259423034,7.810249675906654,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,270,5.000000000000044,4.999999999999956,0.0,0.0,29425.70099280016,29425.70099280016,5.000000000000191,4.999999999999809,1.4654943925052066e-13,1.4654943925052066e-13,0.0,0.0,7.130438461899757e-10,7.130438461899757e-10,0.0,0.0,3.8191672047105385e-13,0.0,3.8191672047105385e-13,0.0,0.0,0.0
run_00000271,0.7071067811865476,13.586758259423034,7.937253933193772,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,271,5.000000000000044,4.999999999999956,0.0,0.0,29418.16656661086,29418.16656661086,5.000000000000191,4.999999999999809,1.4566126083082054e-13,1.4566126083082054e-13,0.0,0.0,1.1204974725842476e-09,1.1204974725842476e-09,8.881784197001252e-16,8.881784197001252e-16,3.801403636316536e-13,0.0,3.801403636316536e-13,0.0,0.0,0.0
run_00000272,0.7071067811865476,13.586758259423034,8.06225774829855,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,272,5.000000000000044,4.999999999999956,0.0,0.0,29411.094041792447,29411.094041792447,5.000000000000189,4.999999999999811,1.4477308241112041e-13,1.4477308241112041e-13,0.0,0.0,1.1823431123048067e-09,1.1823431123048067e-09,0.0,0.0,3.7836400679225335e-13,0.0,3.7836400679225335e-13,0.0,0.0,0.0
run_00000273,0.7071067811865476,13.586758259423034,8.18535277187245,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,273,5.000000000000044,4.999999999999956,0.0,0.0,29404.442205442385,29404.442205442385,5.000000000000187,4.999999999999813,1.438849039914203e-13,1.438849039914203e-13,0.0,0.0,3.055902197957039e-10,3.055902197957039e-10,8.881784197001252e-16,8.881784197001252e-16,3.765876499528531e-13,0.0,3.765876499528531e-13,0.0,0.0,0.0
run_00000274,0.7071067811865476,13.586758259423034,8.306623862918075,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,274,5.000000000000044,4.999999999999956,0.0,0.0,29398.174606052995,29398.174606052995,5.000000000000187,4.999999999999813,1.4299672557172016e-13,1.4299672557172016e-13,0.0,0.0,1.1859810911118984e-09,1.1859810911118984e-09,0.0,0.0,3.7481129311345285e-13,0.0,3.7481129311345285e-13,0.0,0.0,0.0
run_00000275,0.7071067811865476,13.586758259423034,8.426149773176359,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,275,5.000000000000044,4.999999999999956,0.0,0.0,29392.258885174564,29392.258885174564,5.000000000000186,4.999999999999814,1.4210854715202004e-13,1.4210854715202004e-13,0.0,0.0,8.512870408594608e-10,8.512870408594608e-10,8.881784197001252e-16,8.881784197001252e-16,3.730349362740526e-13,0.0,3.730349362740526e-13,0.0,0.0,0.0
run_00000276,0.7071067811865476,13.586758259423034,8.54400374531753,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,276,5.000000000000044,4.999999999999956,0.0,0.0,29386.6662186065,29386.6662186065,5.000000000000186,4.999999999999814,1.4210854715202004e-13,1.4210854715202004e-13,0.0,0.0,1.3860699255019426e-09,1.3860699255019426e-09,8.881784197001252e-16,8.881784197001252e-16,3.730349362740526e-13,0.0,3.730349362740526e-13,0.0,0.0,0.0
run_00000277,0.7071067811865476,13.586758259423034,8.660254037844387,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,277,5.000000000000044,4.999999999999956,0.0,0.0,29381.370846688314,29381.370846688314,5.000000000000186,4.999999999999814,1.412203687323199e-13,1.412203687323199e-13,0.0,0.0,8.803908713161945e-10,8.803908713161945e-10,0.0,0.0,3.7125857943465235e-13,0.0,3.7125857943465235e-13,0.0,0.0,0.0
run_00000278,0.7071067811865476,13.586758259423034,8.774964387392123,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,278,5.000000000000044,4.999999999999956,0.0,0.0,29376.349677575894,29376.349677575894,5.000000000000186,4.999999999999814,1.4033219031261979e-13,1.4033219031261979e-13,0.0,0.0,8.62200977280736e-10,8.62200977280736e-10,8.881784197001252e-16,8.881784197001252e-16,3.694822225952521e-13,0.0,3.694822225952521e-13,0.0,0.0,0.0
run_00000279,0.7071067811865476,13.586758259423034,8.888194417315589,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,279,5.000000000000044,4.999999999999956,0.0,0.0,29371.581950582153,29371.581950582153,5.000000000000184,4.999999999999816,1.3944401189291966e-13,1.3944401189291966e-13,0.0,0.0,7.166818249970675e-10,7.166818249970675e-10,0.0,0.0,3.6770586575585185e-13,0.0,3.6770586575585185e-13,0.0,0.0,0.0
run_00000280,0.7071067811865476,14.6696966567138,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,280,7.0656111561676065,2.9343888438322407,0.0,0.0,66583.53481697736,66583.53481697736,7.065611156167761,2.934388843832209,1.545430450278218e-13,3.197442310920451e-14,0.0,0.0,1.7316779121756554e-09,1.964508555829525e-09,0.0,4.440892098500626e-16,4.131222312335553,0.0,4.131222312335553,8.881784197001252e-16,8.881784197001252e-16,0.0
run_00000281,0.7071067811865476,14.6696966567138,1.7320508075688772,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,281,7.266691856369624,2.7333081436305564,0.0,0.0,46524.08880186182,46524.08880186113,7.266691856369467,2.7333081436304782,1.5631940186722204e-13,7.904787935331115e-14,0.0,0.0,1.0186340659856796e-09,1.3023964129388332e-09,8.881784197001252e-16,8.881784197001252e-16,4.53338371273899,0.0,4.53338371273899,0.0,0.0,0.0
run_00000282,0.7071067811865476,14.6696966567138,2.23606797749979,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,282,7.127425320049847,2.8725746799501284,0.0,0.0,38962.7147433818,38962.7147433809,7.1274253200496505,2.8725746799502505,1.9806378759312793e-13,1.2256862191861728e-13,0.0,0.0,2.1827872842550278e-10,3.41970007866621e-10,1.7763568394002505e-15,4.440892098500626e-16,4.254850640099397,0.0,4.254850640099397,8.881784197001252e-16,8.881784197001252e-16,0.0
run_00000283,0.7071067811865476,14.6696966567138,2.6457513110645907,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,283,6.714198991252938,3.285801008746607,0.0,0.0,34428.29783224293,34428.297832241165,6.714198991253143,3.2858010087466507,2.0694557179012918e-13,4.263256414560601e-14,0.0,0.0,1.382431946694851e-10,1.4551915228366852e-09,1.7763568394002505e-15,8.881784197001252e-16,3.4283979825064956,0.0,3.4283979825064956,4.440892098500626e-16,4.440892098500626e-16,0.0
run_00000284,0.7071067811865476,14.6696966567138,3.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,284,5.815432467739666,4.184567532260335,0.0,0.0,31409.80761975819,31409.80761975819,5.815432467739666,4.184567532260334,2.969220691683714e-11,2.969220692596115e-11,0.0,0.0,3.68496048669394e-08,3.68496048669394e-08,2.969220691683714e-11,2.969220691683714e-11,1.6308649354793319,0.0,1.6308649354793319,5.938441383304941e-11,5.938441383304941e-11,0.0
run_00000285,0.7071067811865476,14.6696966567138,3.3166247903554,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,285,5.000000000001676,4.999999999998324,0.0,0.0,30605.958135409197,30605.958135409197,5.000000000001539,4.999999999998461,1.3677947663381929e-13,1.3677947663381929e-13,0.0,0.0,1.2623786460608244e-09,1.2623786460608244e-09,0.0,0.0,3.078426402680634e-12,0.0,3.078426402680634e-12,0.0,0.0,0.0
run_00000286,0.7071067811865476,14.6696966567138,3.605551275463989,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,286,5.000000000000708,4.999999999999292,0.0,0.0,30409.13321194749,30409.13321194749,5.0000000000007665,4.9999999999992335,5.861977570020827e-14,5.861977570020827e-14,0.0,0.0,1.0695657692849636e-09,1.0695657692849636e-09,0.0,0.0,1.5329959524024162e-12,0.0,1.5329959524024162e-12,0.0,0.0,0.0
run_00000287,0.7071067811865476,14.6696966567138,3.872983346207417,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,287,5.00000000000057,4.99999999999943,0.0,0.0,30263.98138932294,30263.98138932294,5.000000000000556,4.999999999999444,1.3322676295501878e-14,1.3322676295501878e-14,0.0,0.0,4.5838532969355583e-10,4.5838532969355583e-10,8.881784197001252e-16,8.881784197001252e-16,1.113775738303957e-12,0.0,1.113775738303957e-12,0.0,0.0,0.0
run_00000288,0.7071067811865476,14.6696966567138,4.123105625617661,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,288,5.0000000000005596,4.9999999999994404,0.0,0.0,30152.51146585494,30152.51146585494,5.000000000000458,4.999999999999542,1.0036416142611415e-13,1.0036416142611415e-13,0.0,0.0,6.912159733474255e-11,6.912159733474255e-11,8.881784197001252e-16,8.881784197001252e-16,9.183764859699295e-13,0.0,9.183764859699295e-13,0.0,0.0,0.0
run_00000289,0.7071067811865476,14.6696966567138,4.358898943540674,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,289,5.000000000000184,4.999999999999816,0.0,0.0,30064.216952830444,30064.216952830444,5.000000000000402,4.999999999999598,2.184918912462308e-13,2.184918912462308e-13,0.0,0.0,5.857145879417658e-10,5.857145879417658e-10,0.0,0.0,8.046896482483135e-13,0.0,8.046896482483135e-13,0.0,0.0,0.0
run_00000290,0.7071067811865476,14.6696966567138,4.58257569495584,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,290,5.000000000000176,4.999999999999824,0.0,0.0,29992.550064357223,29992.550064357223,5.000000000000368,4.999999999999632,1.900701818158268e-13,1.900701818158268e-13,0.0,0.0,1.6370904631912708e-09,1.6370904631912708e-09,1.7763568394002505e-15,1.7763568394002505e-15,7.318590178329032e-13,0.0,7.318590178329032e-13,0.0,0.0,0.0
run_00000291,0.7071067811865476,14.6696966567138,4.795831523312719,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,291,5.000000000000152,4.999999999999848,0.0,0.0,29933.217563001246,29933.217563001246,5.00000000000034,4.99999999999966,1.8740564655672642e-13,1.8740564655672642e-13,0.0,0.0,1.2623786460608244e-09,1.2623786460608244e-09,8.881784197001252e-16,8.881784197001252e-16,6.785683126508957e-13,0.0,6.785683126508957e-13,0.0,0.0,0.0
run_00000292,0.7071067811865476,14.6696966567138,5.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,292,5.000000000000151,4.999999999999849,0.0,0.0,29883.287223713203,29883.287223713203,5.0000000000003215,4.9999999999996785,1.6964207816272392e-13,1.6964207816272392e-13,0.0,0.0,6.111804395914078e-10,6.111804395914078e-10,8.881784197001252e-16,8.881784197001252e-16,6.412648190234904e-13,0.0,6.412648190234904e-13,0.0,0.0,0.0
run_00000293,0.7071067811865476,14.6696966567138,5.196152422706632,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,293,5.000000000000149,4.999999999999851,0.0,0.0,29840.68807557971,29840.68807557971,5.000000000000307,4.999999999999693,1.5631940186722204e-13,1.5631940186722204e-13,0.0,0.0,1.127773430198431e-10,1.127773430198431e-10,1.7763568394002505e-15,1.7763568394002505e-15,6.110667527536862e-13,0.0,6.110667527536862e-13,0.0,0.0,0.0
run_00000294,0.7071067811865476,14.6696966567138,5.385164807134504,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,294,5.000000000000149,4.999999999999851,0.0,0.0,29803.91580273907,29803.91580273907,5.000000000000293,4.999999999999707,1.4477308241112041e-13,1.4477308241112041e-13,0.0,0.0,9.677023626863956e-10,9.677023626863956e-10,8.881784197001252e-16,8.881784197001252e-16,5.879741138414829e-13,0.0,5.879741138414829e-13,0.0,0.0,0.0
run_00000295,0.7071067811865476,14.6696966567138,5.5677643628300215,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,295,5.000000000000143,4.999999999999857,0.0,0.0,29771.851333203023,29771.851333203023,5.000000000000284,4.999999999999716,1.412203687323199e-13,1.412203687323199e-13,0.0,0.0,1.4515535440295935e-09,1.4515535440295935e-09,0.0,0.0,5.684341886080801e-13,0.0,5.684341886080801e-13,0.0,0.0,0.0
run_00000296,0.7071067811865476,14.6696966567138,5.744562646538029,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,-2,-2,296,5.000000000000143,4.999999999999857,0.0,0.0,29743.644930534494,29743.644930534494,5.0000000000002744,4.9999999999997256,1.3322676295501878e-13,1.3322676295501878e-13,0.0,0.0,9.313225746154785e-10,9.313225746154785e-10,1.7763568394002505e-15,1.7763568394002505e-15,5.524469770534779e-13,0.0,5.524469770534779e-13,0.0,0.0,0.0
