,sig_e,sig_s,sig_u,sig_eps,rho,tau,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd
run_00000000,0.7071067811865476,1.0,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,0,5.100637560742067,5.100637560742067,0.7387469064522295,0.7387469064522295,0.0,0.0,5.0935033432790275,5.0935033432790275,2.4063905632628773,2.4063905632628773,0.6243295466387022,0.6243295466387022,0.0,0.0,3.3013918437624645,3.3013918437624645,0.0,0.0,0.0,0.0,0.0,0.0
run_00000001,0.7071067811865476,1.0,6.4031242374328485,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,1,4.926349275903181,4.926349275903181,0.6998035661291514,0.6998035661291514,0.0,0.0,4.909764913111216,4.909764913111216,2.4373516716878454,2.4373516716878454,0.6119297484748883,0.6119297484748883,0.0,0.0,3.2565021323098238,3.2565021323098238,0.0,0.0,0.0,0.0,0.0,0.0
run_00000002,0.7071067811865476,24.758836806279895,1.0,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,2,7.589003949326016,2.4692967908396444,1.4580326163911377,1.4544243999073503,68377.08592281528,68661.44887923039,7.6073202788025585,2.4874836258849125,0.036564306408130395,0.04049831774448518,0.0043926457950888625,0.003710189261649743,3695.7560978223514,3422.902909283684,2.0527077514178167,2.0476948423509325,5.119707158486384,0.0036082164837842887,5.119836652917646,0.006338774142380051,0.00837884609660699,0.0015321671822146952
run_00000003,0.7071067811865476,24.758836806279895,6.4031242374328485,1.4142135623730951,0.5,0.5,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,3,4.969451692644098,4.9693299454270035,1.4971607154768736,1.4995933245595072,29181.426343892763,24180.958708652262,5.058718031250783,5.058739656947606,0.03233223410938821,0.03232397918988401,0.005259637457255857,0.005323658577436739,1046.1789741042887,866.9465642821656,2.1066662870615924,2.110090713577682,0.0001217472171035193,0.0024326090826392566,2.162569682283399e-05,1.3181021132182907e-05,0.003426386632786396,7.524081920026668e-05
